id,station_name,street_address,city,zip,status_code,access_code,access_detail_code,facility_type,owner_type_code,ev_network,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,ports_total,ev_connector_types,ev_pricing,ev_workplace_charging,open_date,date_last_confirmed,updated_at,latitude,longitude,COUNTYFP
191606,THE MEADOWS STATION 01,100 Graham Rd,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2021-06-30,2026-09-14,2026-09-14T01:31:33Z,42.484493,-76.482096,109
226519,BJ'S Wholesale Shopping Club,40 Graham Rd W,Ithaca,14850,E,public,CREDIT_CARD_ALWAYS,PARKING_LOT,P,Non-Networked,0,2,0,2,['J1772'],,False,2022-08-25,2024-04-14,2025-02-12T00:16:32Z,42.4860997947594,-76.4927860720635,109
226520,The Dorm Hotel,518 Stewart Ave,Ithaca,14850,E,public,CREDIT_CARD_ALWAYS,HOTEL,P,Non-Networked,0,1,0,1,['J1772'],Free,False,2022-08-25,2024-04-14,2025-02-12T00:16:32Z,42.444235929905,-76.489961683489,109
226521,Maguire Honda of Ithaca,315 Elmira Rd,Ithaca,14850,E,public,CREDIT_CARD_ALWAYS,CAR_DEALER,P,Non-Networked,0,1,0,1,['J1772'],Free,False,2022-08-25,2024-05-09,2025-02-12T00:16:32Z,42.4263952006438,-76.5091665942317,109
226539,Inn at Taughannock Falls - Tesla Destination,2030 Gorge Rd,Trumansburg,14886,E,public,,HOTEL,P,Tesla Destination,0,2,0,2,['TESLA'],Free,False,2021-06-22,2026-08-27,2026-08-27T18:11:53Z,42.54467,-76.59838,109
227121,CORNELL STATION4,106 Statler Dr,Ithaca,14853,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2022-09-03,2026-09-14,2026-09-14T01:13:23Z,42.445481,-76.481133,109
229267,CORNELL STATION6,106 Statler Dr,Ithaca,14853,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2022-09-27,2026-09-14,2026-09-14T01:10:21Z,42.445495,-76.481261,109
229268,CORNELL STATION2,37 Forest Home Dr,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2022-09-27,2026-09-14,2026-09-14T01:19:46Z,42.450492,-76.478532,109
229269,CORNELL STATION1,37 Forest Home Dr,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2022-09-27,2026-09-14,2026-09-14T01:19:46Z,42.45049,-76.478483,109
229400,CORNELL STATION3,176 Hoy Rd,Ithaca,14853,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2022-09-28,2026-09-14,2026-09-14T01:19:45Z,42.44345,-76.47946,109
