site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
public_l2,afdc_372446,GREENSTARCOOPER GREENSTAR 2,42.445,-76.51,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_376246,Northside Apartments Site 1,42.445,-76.506,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_376247,Northside Apartments Site 2,42.445,-76.506,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_384284,INHS VILLAGE GROVE 6,42.536,-76.661,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_384285,INHS VILLAGE GROVE 3,42.536,-76.661,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_384286,INHS VILLAGE GROVE 2,42.536,-76.661,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_384287,INHS VILLAGE GROVE 5,42.536,-76.661,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_384288,INHS VILLAGE GROVE 4,42.536,-76.661,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_384289,INHS VILLAGE GROVE 1,42.536,-76.661,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_420749,ORLY ITHACA 1,42.432,-76.51,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_420750,ORLY ITHACA 3,42.432,-76.51,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_429747,Chrysler L2s,42.428,-76.51,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_439836,Springwater Inn,42.459,-76.428,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_447078,Village Hall,42.541,-76.661,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_452497,308 Main Street,42.586,-76.366,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_455979,Honda L2's,42.427,-76.51,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_455980,Imports L2s,42.423,-76.518,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_455983,Ford Ithaca L2s,42.435,-76.509,4.0,14.103,41675.339,23.211,8.096
public_l2,afdc_456594,HOUSE OF ALPHA STATION 1,42.456,-76.487,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_456595,HOUSE OF ALPHA STATION 2,42.456,-76.487,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_458593,ORLY ITHACA 2,42.432,-76.51,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_458594,ORLY ITHACA 4,42.432,-76.51,1.0,3.526,10418.835,5.803,8.096
public_l2,afdc_460294,FERGUSON ELEC AURORA 2,42.447,-76.509,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_460295,FERGUSON ELEC AURORA 5,42.447,-76.509,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_460296,FERGUSON ELEC AURORA 4,42.447,-76.509,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_460298,FERGUSON ELEC AURORA 1,42.447,-76.509,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_460299,FERGUSON ELEC AURORA 6,42.447,-76.509,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_462029,GT-Dryden Mutual Insurance,42.5,-76.3,6.0,21.154,62513.008,34.816,8.096
public_l2,afdc_467971,Parking Lot,42.541,-76.66,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_467972,Parking Lot,42.542,-76.666,2.0,7.051,20837.669,11.605,8.096
public_l2,afdc_468044,Parking Lot,42.436,-76.465,2.0,7.051,20837.669,11.605,8.096
dcfc,afdc_117739,Maguire Chevrolet,42.481,-76.478,1.0,3.526,284149.143,340.752,220.806
dcfc,afdc_149318,"Ithaca, NY - Tesla Supercharger",42.429,-76.509,8.0,28.205,2273193.143,2726.013,220.806
